captured_at,fechaActualizacion,actasContabilizadas_pct,contabilizadas,totalActas,pendientesJee,totalVotosEmitidos,totalVotosValidos,participacionCiudadana
2026-04-13T02:46:46.872184+00:00,1776048106830,16.477,15285,92766,77481,3611650,3214327,13.217
2026-04-13T03:05:30.761527+00:00,1776048459310,17.684,16405,92766,76359,3873945,3442503,14.177
2026-04-13T03:10:06.277980+00:00,1776048459310,17.684,16405,92766,76359,3873945,3442503,14.177
2026-04-13T03:15:31.785242+00:00,1776049894205,18.21,16893,92766,75871,3989259,3543360,14.599
2026-04-13T03:20:26.217497+00:00,1776049894205,18.21,16893,92766,75871,3989259,3543360,14.599
2026-04-13T03:35:21.625704+00:00,1776051113003,21.694,20125,92766,72638,4741795,4197707,17.353
2026-04-13T03:45:14.643632+00:00,1776051697431,23.24,21559,92766,71204,5075367,4487211,18.574
2026-04-13T03:50:24.268529+00:00,1776051697431,23.24,21559,92766,71204,5075367,4487211,18.574
2026-04-13T03:55:21.689489+00:00,1776052312016,25.112,23295,92766,69468,5480031,4837132,20.055
2026-04-13T04:10:02.329834+00:00,1776052895530,26.573,24651,92766,68110,5792770,5105306,21.199
2026-04-13T04:45:17.516855+00:00,1776055082147,31.913,29604,92766,63153,6927226,6068607,25.351
2026-04-13T04:50:26.477968+00:00,1776055082147,31.913,29604,92766,63153,6927226,6068607,25.351
2026-04-13T05:05:15.002601+00:00,1776056243912,34.645,32139,92766,60613,7496579,6547765,27.434
2026-04-13T06:55:23.223586+00:00,1776062856589,44.483,41265,92766,51451,9547038,8251453,34.938
2026-04-13T07:00:26.448848+00:00,1776063467155,44.866,41620,92766,51094,9626308,8315902,35.228
